Name,category,publishtime,author,version,currentprice,primeprice,feedback,URL_Á´½Ó
A Child's History of the World,All History & Archaeology,5-Nov-12,V M Hillyer,Hardback,32.36,0,4,https://www.bookdepository.com/Childs-History-of-the-World-V-M-Hillyer/9781607965336?ref=grid-view
Relentless Strike,All History & Archaeology,1-Sep-15,Sean Naylor,Hardback,22.6,29.98,4,https://www.bookdepository.com/Relentless-Strike-Sean-Naylor/9781250014542?ref=grid-view
Empires of the Atlantic World,All History & Archaeology,2-May-11,John H. Elliott,Paperback,30.4,0,4,https://www.bookdepository.com/Empires-of-the-Atlantic-World-John-H-Elliott/9780300123999?ref=grid-view
Father and Son,All History & Archaeology,26-Oct-89,Edmund Gosse,Paperback,13.34,15.01,3.5,https://www.bookdepository.com/Father-and-Son-Edmund-Gosse-Peter-Abbs/9780140182767?ref=grid-view
No Good Men Among the Living,All History & Archaeology,14-Oct-14,Anand Gopal,Hardback,20.56,27,4.5,https://www.bookdepository.com/No-Good-Men-Among-the-Living-Anand-Gopal/9780805091793?ref=grid-view
Bright Young People,All History & Archaeology,2-Oct-08,D. J. Taylor,Paperback,16.41,22,3.5,https://www.bookdepository.com/Bright-Young-People-D-J-Taylor/9780099474470?ref=grid-view
Shiny Pennies And Grubby Pinafores,All History & Archaeology,15-Sep-10,Winifred Foley,Paperback,11.62,13.95,4,https://www.bookdepository.com/Shiny-Pennies-And-Grubby-Pinafores-Winifred-Foley/9780349122939?ref=grid-view
The Routledge Handbook of Greek Mythology,All History & Archaeology,30-Sep-08,Robin Hard,Paperback,51.89,53.96,4,https://www.bookdepository.com/The-Routledge-Handbook-of-Greek-Mythology-Robin-Hard/9780415478908?ref=grid-view
The Course of German History,All History & Archaeology,1-Dec-01,A. J. P. Taylor,Paperback,21.56,0,3.5,https://www.bookdepository.com/The-Course-of-German-History--J-P-Taylor/9780415254052?ref=grid-view
Truth Of The Matter,All History & Archaeology,1-Oct-05,Gough Whitlam,Paperback,20.53,22.5,3.5,https://www.bookdepository.com/Truth-Of-The-Matter-Gough-Whitlam/9780522852127?ref=grid-view
Tank Warfare on the Eastern Front 1943-1945,All History & Archaeology,24-May-16,Robert Forczyk,Hardback,29.53,39.95,4,https://www.bookdepository.com/Tank-Warfare-on-the-Eastern-Front-1943-1945-Robert-Forczyk/9781783462780?ref=grid-view
The Land of the Green Man,All History & Archaeology,31-Oct-17,Carolyne Larrington,Paperback,14.24,15.95,4,https://www.bookdepository.com/The-Land-of-the-Green-Man-Carolyne-Larrington/9781784538484?ref=grid-view
Richard III,All History & Archaeology,13-Jun-17,William Shakespeare,Paperback,9.55,0,4,https://www.bookdepository.com/Richard-III-William-Shakespeare-Peter-Holland/9780143130253?ref=grid-view
Speed,All History & Archaeology,1-Feb-14,Guy Martin,Hardback,29.41,36.33,4,https://www.bookdepository.com/Speed-Guy-Martin/9780753541067?ref=grid-view
The Secret Life of France,All History & Archaeology,1-Aug-13,Lucy Wadham,Paperback,12.85,14.95,3.5,https://www.bookdepository.com/The-Secret-Life-of-France-Lucy-Wadham/9780571308842?ref=grid-view
A Rage for Order,All History & Archaeology,20-Apr-17,Robert F. Worth,Paperback,10.94,13.87,4.5,https://www.bookdepository.com/Rage-for-Order-Robert-F-Worth/9781447240556?ref=grid-view
Ill Met by Moonlight,All History & Archaeology,4-Jan-11,W Stanley Moss,Paperback,16.37,16.95,4,https://www.bookdepository.com/Ill-Met-by-Moonlight-W-Stanley-Moss-Patrick-Leigh-Fermor/9781589880665?ref=grid-view
Moon Lander,All History & Archaeology,1-Oct-09,Thomas J. Kelly,Paperback,20.41,0,4,https://www.bookdepository.com/Moon-Lander-Thomas-J-Kelly/9781588342737?ref=grid-view
Born in Blood,All History & Archaeology,16-Sep-09,John J. Robinson,Paperback,17.06,17.95,4,https://www.bookdepository.com/Born-in-Blood-John-J-Robinson/9781590771488?ref=grid-view
The Roman Triumph,All History & Archaeology,7-Apr-10,Mary Beard,Paperback,24.76,0,4,https://www.bookdepository.com/The-Roman-Triumph-Mary-Beard/9780674032187?ref=grid-view
Armies of the War of the Triple Alliance 1864-70,All History & Archaeology,24-Mar-15,Gabriele Esposito,Paperback,12.33,17.95,4,https://www.bookdepository.com/Armies-of-the-War-of-the-Triple-Alliance-1864-70-Gabriele-Esposito-Giuseppe-Rava/9781472807250?ref=grid-view
Scotland of Old,All History & Archaeology,1-Sep-12,Collins Maps,Sheet map  folded,7.12,7.95,5,https://www.bookdepository.com/Scotland-of-Old-Collins-Maps/9780007485901?ref=grid-view
Handbook to Life in Medieval and Early Modern Japan,All History & Archaeology,3-Oct-07,William E. Deal,Paperback,31.62,0,4,https://www.bookdepository.com/Handbook-Life-in-Medieval-and-Early-Modern-Japan-William-E-Deal/9780195331264?ref=grid-view
His Excellency: George Washington,All History & Archaeology,8-Nov-05,University Joseph J Ellis,Paperback,15.63,17,4,https://www.bookdepository.com/His-Excellency-George-Washington-University-Joseph-J-Ellis/9781400032532?ref=grid-view
Downfall 1945,All History & Archaeology,24-May-16,Steven J. Zaloga,Paperback,18.38,24,3.5,https://www.bookdepository.com/Downfall-1945-Steven-J-Zaloga-Steve-Noon/9781472811431?ref=grid-view
Sr-71 Revealed,All History & Archaeology,7-Jul-96,Rich Graham,Paperback,13.12,19.99,4,https://www.bookdepository.com/Sr-71-Revealed-Rich-Graham/9780760301227?ref=grid-view
Thermopylae 480 BC,All History & Archaeology,20-Nov-07,Nic Fields,Paperback,20.09,21.95,4,https://www.bookdepository.com/Thermopylae-480-BC-Nic-Fields-Steve-Noon/9781841761800?ref=grid-view
Cambridge International AS Level History of the USA 1840-1941 Coursebook,All History & Archaeology,31-Oct-13,Pete Browning,Paperback,32.88,35.94,5,https://www.bookdepository.com/Cambridge-International-AS-Level-History-of-the-USA-1840-1941-Coursebook-Pete-Browning-Patrick-Walsh-Atkins/9781107679603?ref=grid-view
The Extraordinary Voyage of Pytheas the Greek,All History & Archaeology,4-Mar-03,Professor of European Archaeology Barry Cunliffe,Paperback,12.3,14.01,4,https://www.bookdepository.com/The-Extraordinary-Voyage-of-Pytheas-the-Greek-Professor-of-European-Archaeology-Barry-Cunliffe/9780142002544?ref=grid-view
The Oxford History of the Biblical World,All History & Archaeology,7-Jun-01,Michael A. Coogan,Paperback,19.61,19.95,4,https://www.bookdepository.com/The-Oxford-History-of-the-Biblical-World-Michael--Coogan/9780195139372?ref=grid-view
Ten Tales from Shakespeare,All History & Archaeology,23-Apr-03,Charles Lamb,Paperback,7.23,0,3.5,https://www.bookdepository.com/Ten-Tales-from-Shakespeare-Charles-Lamb-Mary-Lamb/9780486428437?ref=grid-view
"""They Can Live in the Desert but Nowhere Else""",All History & Archaeology,30-Jun-15,Ronald Grigor Suny,Hardback,32.65,34.99,4.5,https://www.bookdepository.com/They-Can-Live-in-the-Desert-but-Nowhere-Else-Ronald-Grigor-Suny/9780691147307?ref=grid-view
Gun Button to Fire,All History & Archaeology,25-Nov-11,Tom Neil,Paperback,13.26,15.95,4.5,https://www.bookdepository.com/Gun-Button-Fire-Tom-Neil/9781445605104?ref=grid-view
Sicily,All History & Archaeology,18-Dec-07,Sandra Benjamin,Paperback,25.04,0,3.5,https://www.bookdepository.com/Sicily-Sandra-Benjamin/9781586421311?ref=grid-view
Present Pasts,All History & Archaeology,1-Feb-03,Andreas Huyssen,Paperback,20.95,23.95,4,https://www.bookdepository.com/Present-Pasts-Andreas-Huyssen/9780804745611?ref=grid-view
The Race Against the Stasi,All History & Archaeology,28-Jun-16,Herbie Sykes,Paperback,12.99,14.99,4,https://www.bookdepository.com/The-Race-Against-the-Stasi-Herbie-Sykes/9781781315361?ref=grid-view
A Russian Diary,All History & Archaeology,2-Sep-08,Anna Politkovskaya,Paperback,14.1,14.21,4,https://www.bookdepository.com/Russian-Diary-Anna-Politkovskaya-Jon-Snow/9780099523451?ref=grid-view
Lafcadio Hearn's Japan,All History & Archaeology,15-Oct-07,Lafcadio Hearn,Paperback,13.7,16.95,4,https://www.bookdepository.com/Lafcadio-Hearns-Japan-Lafcadio-Hearn/9784805308738?ref=grid-view
London,All History & Archaeology,5-Oct-00,Roy Porter,Paperback,19.14,23.72,4,https://www.bookdepository.com/London-Roy-Porter/9780140105933?ref=grid-view
The Reef,All History & Archaeology,27-Jun-14,Iain McCalman,Hardback,24.44,27.76,4,https://www.bookdepository.com/The-Reef-Iain-McCalman/9781922247414?ref=grid-view
Boudicca's Rebellion AD 60-61,All History & Archaeology,19-Apr-11,Nic Fields,Paperback,18.27,21.95,3.5,https://www.bookdepository.com/Boudiccas-Rebellion-AD-60-61-Nic-Fields-Peter-Dennis/9781849083133?ref=grid-view
"""National Geographic"" Visual History of the World",All History & Archaeology,26-Nov-05,Douglas Brinkley,Hardback,63.51,0,4,https://www.bookdepository.com/National-Geographic-Visual-History-of-the-World-Douglas-Brinkley/9780792236955?ref=grid-view
My Life in the Ragtrade,All History & Archaeology,9-Nov-14,Fred Wilkinson,Paperback,25.85,0,0,https://www.bookdepository.com/My-Life-in-the-Ragtrade-Fred-Wilkinson/9781925219302?ref=grid-view
Band of Brothers,All History & Archaeology,25-Jun-01,Stephen E. Ambrose,Other book format,27.94,30,4.5,https://www.bookdepository.com/Band-of-Brothers-Stephen-E-Ambrose/9780743216388?ref=grid-view
Meditations,All Business  Finance & Law,27-Dec-16,Marcus Aurelius,Paperback,6.97,0,4,https://www.bookdepository.com/Meditations-Marcus-Aurelius-George-Long/9781945644573?ref=grid-view
Leading,All Business  Finance & Law,8-Oct-15,Alex Ferguson,Hardback,27.1,34.7,4,https://www.bookdepository.com/Leading-Alex-Ferguson/9781473621176?ref=grid-view
Logo Design Love,All Business  Finance & Law,30-Aug-14,David Airey,Paperback,29.58,39.31,4,https://www.bookdepository.com/Logo-Design-Love-David-Airey/9780321985200?ref=grid-view
The Power of Habit,All Business  Finance & Law,28-Feb-12,Charles Duhigg,Hardback,22.92,28,4,https://www.bookdepository.com/The-Power-of-Habit-Charles-Duhigg/9781400069286?ref=grid-view
The Bottom Billion,All Business  Finance & Law,8-Oct-08,Paul Collier,Paperback,11.27,16.75,4,https://www.bookdepository.com/The-Bottom-Billion-Paul-Collier/9780195374636?ref=grid-view
How Successful People Think,All Business  Finance & Law,2-Jul-09,John C. Maxwell,Hardback,9.98,9.99,4,https://www.bookdepository.com/How-Successful-People-Think-John-C-Maxwell/9781599951683?ref=grid-view
The Square and the Tower,All Business  Finance & Law,26-Oct-17,Niall Ferguson,Paperback,24.03,0,3.5,https://www.bookdepository.com/The-Square-and-the-Tower-Niall-Ferguson/9780241298985?ref=grid-view
Irrational Exuberance,All Business  Finance & Law,16-Aug-16,Robert J. Shiller,Paperback,19.34,19.61,4,https://www.bookdepository.com/Irrational-Exuberance-Robert-J-Shiller/9780691173122?ref=grid-view
Thinkertoys,All Business  Finance & Law,9-Aug-11,Michael Michalko,Paperback,22.47,0,4,https://www.bookdepository.com/Thinkertoys-Michael-Michalko/9781580087735?ref=grid-view
Contagious,All Business  Finance & Law,3-May-16,Jonah Berger,Paperback,14.89,16.01,4,https://www.bookdepository.com/Contagious-Jonah-Berger/9781451686586?ref=grid-view
Smarter Faster Better,All Business  Finance & Law,12-Jan-17,Charles Duhigg,Paperback,13.49,13.87,4,https://www.bookdepository.com/Smarter-Faster-Better-Charles-Duhigg/9781847947437?ref=grid-view
Cradle to Cradle,All Business  Finance & Law,1-Apr-10,Michael Braungart,Paperback,11.88,19.42,4,https://www.bookdepository.com/Cradle-Cradle-Michael-Braungart-William-McDonough/9780099535478?ref=grid-view
How to Develop a Brilliant Memory Week by Week,All Business  Finance & Law,28-Jan-14,Dominic O'Brien,Paperback,11.26,12.95,4,https://www.bookdepository.com/How-Develop-Brilliant-Memory-Week-by-Week-Dominic-OBrien/9781780287904?ref=grid-view
The Dhandho Investor,All Business  Finance & Law,6-Apr-07,Mohnish Pabrai,Hardback,26.71,34.95,4,https://www.bookdepository.com/The-Dhandho-Investor-Mohnish-Pabrai/9780470043899?ref=grid-view
Think Like a Freak,All Business  Finance & Law,23-Jan-15,Steven D Levitt,Paperback,10.52,0,4,https://www.bookdepository.com/Think-Like-Freak-Steven-D-Levitt-Stephen-J-Dubner/9780062295927?ref=grid-view
Rock Your Network Marketing Business,All Business  Finance & Law,9-Oct-13,Sarah Robbins,Paperback,16.84,0,4,https://www.bookdepository.com/Rock-Your-Network-Marketing-Business-Sarah-Robbins/9781884667268?ref=grid-view
Juvenescence,All Business  Finance & Law,25-Oct-17,Jim Mellon,Paperback,22.47,0,3.5,https://www.bookdepository.com/Juvenescence-Jim-Mellon-Al-Chalabi/9780993047817?ref=grid-view
Think and Grow Rich,All Business  Finance & Law,6-Apr-11,Napoleon Hill,CD-Audio,7.76,9.99,4,https://www.bookdepository.com/Think-and-Grow-Rich-Napoleon-Hill/9781455804863?ref=grid-view
The Art of Deception,All Business  Finance & Law,17-Oct-03,Kevin D. Mitnick,Paperback,13.06,16.95,4,https://www.bookdepository.com/The-Art-of-Deception-Kevin-D-Mitnick-William-L-Simon-Steve-Wozniak/9780764542800?ref=grid-view
Hit Refresh,All Business  Finance & Law,26-Sep-17,Satya Nadella,Paperback,19.54,20.81,3.5,https://www.bookdepository.com/Hit-Refresh-Satya-Nadella/9780008247669?ref=grid-view
Liar's Poker,All Business  Finance & Law,29-Aug-11,Michael Lewis,Paperback,15.13,15.95,4,https://www.bookdepository.com/Liars-Poker-Michael-Lewis/9780393338690?ref=grid-view
Decisive,All Business  Finance & Law,6-Feb-14,Chip Heath,Paperback,12.28,12.48,4,https://www.bookdepository.com/Decisive-Chip-Heath-Dan-Heath/9781847940865?ref=grid-view
You Can Farm,All Business  Finance & Law,1-Jun-98,Joel Salatin,Paperback,29.32,34.99,4,https://www.bookdepository.com/You-Can-Farm-Joel-Salatin/9780963810922?ref=grid-view
Leading,All Business  Finance & Law,21-May-16,Alex Ferguson,Paperback,12.8,15.26,4,https://www.bookdepository.com/Leading-Alex-Ferguson/9781473621640?ref=grid-view
The Richest Man in Babylon,All Business  Finance & Law,19-Feb-07,George Samuel Clason,Paperback,11.26,0,4,https://www.bookdepository.com/The-Richest-Man-in-Babylon-George-Samuel-Clason/9789562913799?ref=grid-view
The Art of Thinking Clearly: Better Thinking  Better Decisions,All Business  Finance & Law,4-Apr-13,Rolf Dobelli,Hardback,13.94,18.03,4,https://www.bookdepository.com/The-Art-of-Thinking-Clearly-Better-Thinking-Better-Decisions-Rolf-Dobelli/9781444759549?ref=grid-view
Secrets Of Closing The Sale,All Business  Finance & Law,1-Sep-04,Zig Ziglar,Hardback,17.23,18.99,4,https://www.bookdepository.com/Secrets-Of-Closing-The-Sale-Zig-Ziglar/9780800759759?ref=grid-view
The Competitive Strategy,All Business  Finance & Law,19-Jan-04,Michael E. Porter,Paperback,19.95,25,4,https://www.bookdepository.com/The-Competitive-Strategy-Michael-E-Porter/9780743260886?ref=grid-view
Why Nations Fail,All Business  Finance & Law,23-May-12,Professor Daron Acemoglu,Hardback,25.64,30,4,https://www.bookdepository.com/Why-Nations-Fail-Professor-Daron-Acemoglu/9780307719218?ref=grid-view
Superfreakonomics,All Business  Finance & Law,30-Jun-11,Stephen J. Dubner,Paperback,10.55,0,4,https://www.bookdepository.com/Superfreakonomics-Stephen-J-Dubner-Steven-D-Levitt/9780141048321?ref=grid-view
Adults In The Room,All Business  Finance & Law,4-May-17,Yanis Varoufakis,Hardback,28.54,0,4.5,https://www.bookdepository.com/Adults-In-The-Room-Yanis-Varoufakis/9781847924452?ref=grid-view
Blockchain Basics,All Business  Finance & Law,16-Mar-17,Daniel Drescher,Paperback,22.21,0,4,https://www.bookdepository.com/Blockchain-Basics-Daniel-Drescher/9781484226032?ref=grid-view
Catching the Wolf of Wall Street,All Business  Finance & Law,25-Jan-11,Jordan Belfort,Paperback,17.07,0,4,https://www.bookdepository.com/Catching-the-Wolf-of-Wall-Street-Jordan-Belfort/9780553385441?ref=grid-view
Difficult Conversations,All Business  Finance & Law,21-Aug-15,Bruce Patton,Paperback,12.62,15.31,4,https://www.bookdepository.com/Difficult-Conversations-Bruce-Patton-Douglas-Stone-Sheila-Heen-Roger-Fisher/9780670921348?ref=grid-view
4 Disciplines of Execution,All Business  Finance & Law,21-Jul-15,Sean Covey,Paperback,11.16,17.75,4,https://www.bookdepository.com/4-Disciplines-of-Execution-Sean-Covey/9780857205834?ref=grid-view
The Ascent of Money,All Business  Finance & Law,1-Apr-12,Niall Ferguson,Paperback,14.45,24,4,https://www.bookdepository.com/The-Ascent-of-Money-Niall-Ferguson/9780718194000?ref=grid-view
How to Be an Overnight Success,All Business  Finance & Law,1-Apr-18,Maria Hatzistefanis,Hardback,16.34,21.95,4,https://www.bookdepository.com/How-Be-an-Overnight-Success-Maria-Hatzistefanis/9781785037320?ref=grid-view
Search Inside Yourself,All Business  Finance & Law,5-Oct-12,Chade-Meng Tan,Paperback,16.37,28.75,4,https://www.bookdepository.com/Search-Inside-Yourself-Chade-Meng-Tan-Daniel-Goleman-Jon-Kabat-Zinn/9780007467976?ref=grid-view
Value Investing,All Business  Finance & Law,17-Feb-04,Bruce C. N. Greenwald,Paperback,19.95,21.59,4,https://www.bookdepository.com/Value-Investing-Bruce-C-N-Greenwald-J-Kahn-Paul-D-Sonkin-Michael-Van-Biema/9780471463399?ref=grid-view
Perennial Seller,All Business  Finance & Law,13-Jul-17,Ryan Holiday,Paperback,11.29,12.48,4,https://www.bookdepository.com/Perennial-Seller-Ryan-Holiday/9781781257661?ref=grid-view
The Yellow Belt Memory Jogger,All Business  Finance & Law,15-May-15,Joseph T Basala,Spiral bound,4.11,17.95,0,https://www.bookdepository.com/The-Yellow-Belt-Memory-Jogger-Joseph-T-Basala/9781576811733?ref=grid-view
Buyology,All Business  Finance & Law,2-Feb-10,Martin Lindstrom,Paperback,14.77,16.01,3.5,https://www.bookdepository.com/Buyology-Martin-Lindstrom/9780385523899?ref=grid-view
Daring & Disruptive,All Business  Finance & Law,1-Feb-15,Lisa Messenger,Paperback,20.17,22.99,4,https://www.bookdepository.com/Daring--Disruptive-Lisa-Messenger/9780987097460?ref=grid-view
The 15 Invaluable Laws of Growth,All Business  Finance & Law,2-Sep-14,John C Maxwell,Paperback,13.95,16.01,4.5,https://www.bookdepository.com/The-15-Invaluable-Laws-of-Growth-John-C-Maxwell-Jr-J-C-Maxwell/9781599953670?ref=grid-view
Overcoming the Five Dysfunctions of a Team,All Business  Finance & Law,12-Apr-05,Patrick M. Lencioni,Paperback,21.21,27.96,4,https://www.bookdepository.com/Overcoming-the-Five-Dysfunctions-of-Team-Patrick-M-Lencioni/9780787976378?ref=grid-view
East West Street,All Business  Finance & Law,26-May-16,Philippe Sands,Hardback,23.36,27.76,4.5,https://www.bookdepository.com/East-West-Street-Philippe-Sands/9781474601900?ref=grid-view
Finding Your Element,All Business  Finance & Law,27-May-14,Sir Ken Robinson,Paperback,15.51,17,4,https://www.bookdepository.com/Finding-Your-Element-Sir-Ken-Robinson/9780143125518?ref=grid-view
Exponential Organizations,All Business  Finance & Law,14-Oct-14,Salim Ismail,Paperback,16.71,18.99,4,https://www.bookdepository.com/Exponential-Organizations-Salim-Ismail-Michael-S-Malone-Yuri-van-Geest/9781626814233?ref=grid-view
HBR Guide to Better Business Writing (HBR Guide Series),All Business  Finance & Law,11-Feb-13,Bryan A. Garner,Paperback,15.98,19.95,4,https://www.bookdepository.com/HBR-Guide-Better-Business-Writing-HBR-Guide-Series-Bryan--Garner/9781422184035?ref=grid-view
Zero to One,All Business  Finance & Law,16-Sep-14,Peter Thiel,Hardback,24.53,28,4,https://www.bookdepository.com/Zero-One-Peter-Thiel-Blake-Masters/9780804139298?ref=grid-view
Cartoon Guide to Statistics,All Business  Finance & Law,31-Aug-11,Larry Gonick,Paperback,13.6,19.99,4,https://www.bookdepository.com/Cartoon-Guide-Statistics-Larry-Gonick-Woollcott-Smith/9780062731029?ref=grid-view
The 80/20 Principle,All Business  Finance & Law,7-Apr-17,Richard Koch,Paperback,15.1,18.03,4,https://www.bookdepository.com/The-8020-Principle-Richard-Koch/9781857886849?ref=grid-view
Built To Sell,All Business  Finance & Law,28-Feb-13,John Warrillow,Paperback,13.53,15.01,4,https://www.bookdepository.com/Built-Sell-John-Warrillow/9781591845829?ref=grid-view
The Psychology of Selling,All Business  Finance & Law,18-Jul-06,Brian Tracy,Paperback,16.46,16.99,4,https://www.bookdepository.com/The-Psychology-of-Selling-Brian-Tracy/9780785288060?ref=grid-view
The Thank You Economy,All Business  Finance & Law,11-Jul-11,Gary Vaynerchuk,Hardback,21.47,25.99,4,https://www.bookdepository.com/The-Thank-You-Economy-Gary-Vaynerchuk/9780061914188?ref=grid-view
Getting Past No,All Business  Finance & Law,1-Jun-03,William Ury,Paperback,14.98,17,4,https://www.bookdepository.com/Getting-Past-No-William-Ury/9780553371314?ref=grid-view
Failing Forward,All Business  Finance & Law,3-Apr-07,John C. Maxwell,Paperback,12.55,16.99,4.5,https://www.bookdepository.com/Failing-Forward-John-C-Maxwell/9780785288572?ref=grid-view
The Score Takes Care of Itself,All Business  Finance & Law,29-Jun-10,Bill Walsh,Paperback,15.74,17,4,https://www.bookdepository.com/The-Score-Takes-Care-of-Itself-Bill-Walsh-Steve-Jamison-Craig-Walsh-Joe-Montana/9781591843474?ref=grid-view
The Art of Strategy,All Business  Finance & Law,1-Jan-18,Avinash K. Dixit,Paperback,17.16,18.95,4,https://www.bookdepository.com/The-Art-of-Strategy-Avinash-K-Dixit-Barry-J-Nalebuff/9780393337174?ref=grid-view
The New Market Wizards,All Business  Finance & Law,1-Feb-94,Jack D. Schwager,Paperback,16.21,17.99,4,https://www.bookdepository.com/The-New-Market-Wizards-Jack-D-Schwager/9780887306679?ref=grid-view
The Curated Closet,All Business  Finance & Law,23-Feb-17,Anuschka Rees,Paperback,22.18,23.58,3.5,https://www.bookdepository.com/The-Curated-Closet-Anuschka-Rees/9780753545850?ref=grid-view
The Tipping Point,All Business  Finance & Law,7-Jan-02,Malcolm Gladwell,Paperback,15.66,17,4,https://www.bookdepository.com/The-Tipping-Point-Malcolm-Gladwell/9780316346627?ref=grid-view
The Alchemy of Finance,All Business  Finance & Law,15-Jun-15,George Soros,Paperback,21.63,24.94,3.5,https://www.bookdepository.com/The-Alchemy-of-Finance-George-Soros-Paul--Volcker/9780471445494?ref=grid-view
Payoff,All Business  Finance & Law,17-Nov-16,Dan Ariely,Hardback,15.06,15.51,3.5,https://www.bookdepository.com/Payoff-Dan-Ariely/9781471156076?ref=grid-view
Words that Sell  Revised and Expanded Edition,All Business  Finance & Law,30-May-06,Richard Bayan,Paperback,15.8,17.7,4,https://www.bookdepository.com/Words-that-Sell-Revised-and-Expanded-Edition-Richard-Bayan/9780071467858?ref=grid-view
The 5 Levels of Leadership,All Business  Finance & Law,3-Sep-13,John C. Maxwell,Paperback,15.14,16.01,4.5,https://www.bookdepository.com/The-5-Levels-of-Leadership-John-C-Maxwell/9781599953632?ref=grid-view
Lean In,All Business  Finance & Law,17-Apr-14,Sheryl Sandberg,Paperback,17.98,18.03,4,https://www.bookdepository.com/Lean-In-Sheryl-Sandberg/9780753555804?ref=grid-view
The Craftsman,All Business  Finance & Law,1-Feb-09,Richard Sennett,Paperback,12.76,21.63,4,https://www.bookdepository.com/The-Craftsman-Richard-Sennett/9780141022093?ref=grid-view
How Brands Grow: Part 2,All Business  Finance & Law,19-Nov-15,Jenni Romaniuk,Hardback,32.41,39.95,4,https://www.bookdepository.com/How-Brands-Grow-Part-2-Jenni-Romaniuk-Byron-Sharp/9780195596267?ref=grid-view
Merchants of Doubt,All Business  Finance & Law,8-Jun-12,Erik M. Conway,Paperback,14.12,18.25,4,https://www.bookdepository.com/Merchants-of-Doubt-Erik-M-Conway-Naomi-Oreskes/9781408824832?ref=grid-view
Influencer: The New Science of Leading Change  Second Edition (Paperback),All Business  Finance & Law,22-Aug-13,Joseph Grenny,Paperback,17.28,20,4,https://www.bookdepository.com/Influencer-The-New-Science-of-Leading-Change-Second-Edition-Paperback-Joseph-Grenny-Kerry-Patterson-David-Maxfield-Ron-McMillan-Al-Switzler/9780071808866?ref=grid-view
Linchpin,All Business  Finance & Law,21-Jul-11,Seth Godin,Paperback,14.94,16.01,4,https://www.bookdepository.com/Linchpin-Seth-Godin/9781591844099?ref=grid-view
The Undoing Project,All Business  Finance & Law,6-Dec-16,Michael Lewis,Hardback,22.45,34.7,4,https://www.bookdepository.com/The-Undoing-Project-Michael-Lewis/9780241254738?ref=grid-view
David and Goliath,All Business  Finance & Law,8-May-14,Malcolm Gladwell,Paperback,10.54,0,4,https://www.bookdepository.com/David-and-Goliath-Malcolm-Gladwell/9780141978956?ref=grid-view
Digital Gold,All Business  Finance & Law,26-May-16,Nathaniel Popper,Paperback,14.14,15.26,4,https://www.bookdepository.com/Digital-Gold-Nathaniel-Popper/9780241180990?ref=grid-view
#Girlboss,All Business  Finance & Law,6-May-14,Sophia Amoruso,Hardback,24.11,26.5,3.5,https://www.bookdepository.com/Girlboss-Sophia-Amoruso/9780399169274?ref=grid-view
Pre-Suasion,All Business  Finance & Law,22-Sep-16,Robert B. Cialdini,Paperback,19.67,0,4,https://www.bookdepository.com/Pre-Suasion-Robert-B-Cialdini/9781847941428?ref=grid-view
Manufacturing Consent,All Business  Finance & Law,15-Jan-02,Noam Chomsky,Paperback,21.57,0,4,https://www.bookdepository.com/Manufacturing-Consent-Noam-Chomsky-Edward-S-Herman/9780375714498?ref=grid-view
Traction,All Business  Finance & Law,29-Oct-15,Gabriel Weinberg,Paperback,17.88,20.81,4,https://www.bookdepository.com/Traction-Gabriel-Weinberg-Justin-Mares/9780241242537?ref=grid-view
Rest,All Business  Finance & Law,7-Mar-17,Alex Soojung-Kim Pang,Paperback,16.19,18.03,4,https://www.bookdepository.com/Rest-Alex-Soojung-Kim-Pang/9780241217283?ref=grid-view
The Bookshop Book,All Business  Finance & Law,2-Oct-14,Jen Campbell,Hardback,15.48,17.68,4,https://www.bookdepository.com/The-Bookshop-Book-Jen-Campbell/9781472116666?ref=grid-view
Fish!,All Business  Finance & Law,27-Jun-14,Stephen C. Lundin,Paperback,10.34,13.87,4,https://www.bookdepository.com/Fish-Stephen-C-Lundin-Harry-Paul-John-Christensen/9781444792805?ref=grid-view
The Sell,All Business  Finance & Law,14-Apr-15,Fredrik Eklund,Paperback,16.55,20.81,0,https://www.bookdepository.com/The-Sell-Fredrik-Eklund-Bruce-Littlefield/9780349408187?ref=grid-view
Whoever Fights Monsters,All Business  Finance & Law,15-Mar-93,Robert K. Ressler,Paperback,8.62,9,4,https://www.bookdepository.com/Whoever-Fights-Monsters-Robert-K-Ressler-Tom-Shachtman/9780312950446?ref=grid-view
The Fifth Discipline: The art and practice of the learning organization,All Business  Finance & Law,6-Apr-06,Peter M. Senge,Paperback,30.51,0,4,https://www.bookdepository.com/The-Fifth-Discipline-The-art-and-practice-of-the-learning-organization-Peter-M-Senge/9781905211203?ref=grid-view
The Presentation Secrets of Steve Jobs: How to Be Insanely Great in Front of Any Audience,All Business  Finance & Law,5-Nov-09,Carmine Gallo,Hardback,20.97,26,4,https://www.bookdepository.com/The-Presentation-Secrets-of-Steve-Jobs-How-Be-Insanely-Great-in-Front-of-Any-Audience-Carmine-Gallo/9780071636087?ref=grid-view
The Second Machine Age,All Business  Finance & Law,1-Feb-16,Erik Brynjolfsson,Paperback,18.82,0,4,https://www.bookdepository.com/The-Second-Machine-Age-Erik-Brynjolfsson-Andrew-McAfee/9780393350647?ref=grid-view
Life 3.0,All Business  Finance & Law,29-Aug-17,Max Tegmark,Hardback,22.56,28,4,https://www.bookdepository.com/Life-30-Max-Tegmark/9781101946596?ref=grid-view
